Qty;Value;Device;Package;Parts;;;;;;;;
5;100k;R-US_0204/7;0204/7;R7;;R11;;R17;;R18;;R21
1;100n;C-EU050-025X075;C050-025X075;C2;;;;;;;;
3;100p;C-EU050-025X075;C050-025X075;C3;;C4;;C15;;;;
1;100u;CPOL-USE2.5-6;E2;5-6;C5;;;;;;;
5;10k;R-US_0204/7;0204/7;R2;;R3;;R13;;R14;;R16
1;10n;C-EU050-025X075;C050-025X075;C7;;;;;;;;
3;10u;CPOL-USE2.5-6;E2;5-6;C17;C8;C18;;;;;
1;120R;R-US_0204/7;0204/7;R12;;;;;;;;
1;1M;R-US_0204/7;0204/7;R1;;;;;;;;
4;1N4148;DO35.2;DO35-2;D3;;D4;;D5;;D6;;
1;1N5817;DO41.3;DO41-3;D1;;;;;;;;
1;1k;R-US_0204/7;0204/7;R15;;;;;;;;
1;1k5;R-US_0204/7;0204/7;R10;;;;;;;;
1;1k8;R-US_0204/7;0204/7;R9;;;;;;;;
1;1n;C-EU050-025X075;C050-025X075;C12;;;;;;;;
3;1u;C-EU050-055X075;C050-055X075;C1;C9;C16;;;;;;
1;22k;R-US_0204/7;0204/7;R20;;;;;;;;
1;22n;C-EU050-025X075;C050-025X075;C6;;;;;;;;
1;2n2;C-EU050-025X075;C050-025X075;C11;;;;;;;;
1;2u2;CPOL-USE2.5-6;E2;5-6;C13;;;;;;;
1;470R;R-US_0204/7;0204/7;R8;;;;;;;;
2;47k;R-US_0204/7;0204/7;R5;;R6;;;;;;
1;47u;CPOL-USE2.5-6;E2;5-6;C14;;;;;;;
1;4k7;R-US_0204/7;0204/7;R19;;;;;;;;
1;4n7;C-EU050-025X075;C050-025X075;C10;;;;;;;;
1;SPDT;SPDT.LUGS;SPDT.LUGS;DIFF;;;;;;;;
2;B100k;16MM.1;16MM_B.MOUNT;MIX;;REL;;;;;;
1;B5k;16MM.1;16MM_B.MOUNT;SENS;;;;;;;;
1;C10k;16MM.1;16MM_B.MOUNT;DWELL;;;;;;;;
2;Diff_Red;LED.3;3MM_2;D7;;D8;;;;;;
1;KE10720;LDR1;LDR1;LDR1;;;;;;;;
1;LED.3;LED.3;3MM_2;D2;;;;;;;;
1;RLED;R-US_0204/7;0204/7;R4;;;;;;;;
1;TC1044SCPA;TC1044SCPA;DIP254P762X508-8;U1;;;;;;;;
1;TL072P;TL072P;DIL08;IC1;;;;;;;;
1;TL074P;TL074P;DIL14;IC2;;;;;;;;
